,,,,,
,,,,,
,,,,,
NODE1,,,,,
n,p,Th,t,u,e
16,1,1,1.021000E-03,6.135241E-02,1.038974E+00
32,1,1,4.090000E-03,6.221244E-02,1.043379E+00
64,1,1,1.963200E-02,6.242807E-02,1.045246E+00
256,1,1,2.317760E-01,6.249550E-02,1.046681E+00
512,1,1,8.856450E-01,6.249888E-02,1.046871E+00
1024,1,1,3.769123E+00,6.249972E-02,1.046976E+00
2048,1,1,1.609186E+01,6.249993E-02,1.047023E+00
4096,1,1,6.828239E+01,6.249998E-02,1.047047E+00
8192,1,1,2.894238E+02,6.250000E-02,1.047059E+00
16384,1,1,1.234396E+03,6.250000E-02,1.047065E+00
,,,,,
NODE2,,,,,
n,p,Th,t,u,e
16,1,1,7.210000E-04,6.135241E-02,1.038974E+00
32,1,1,2.427000E-03,6.221244E-02,1.043379E+00
64,1,1,1.187300E-02,6.242807E-02,1.045246E+00
256,1,1,1.319040E-01,6.249550E-02,1.046681E+00
512,1,1,4.742250E-01,6.249888E-02,1.046871E+00
1024,1,1,1.911259E+00,6.249972E-02,1.046976E+00
2048,1,1,8.084189E+00,6.249993E-02,1.047023E+00
4096,1,1,3.439144E+01,6.249998E-02,1.047047E+00
8192,1,1,1.457998E+02,6.250000E-02,1.047059E+00
16384,1,1,6.174798E+02,6.250000E-02,1.047065E+00